enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,training_hours,target,training_hours_range
8949,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,,,36.0,1.0,0-50
29725,city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15.0,S,Pvt Ltd,47.0,0.0,0-50
11561,city_21,0.624,Not specified,No relevent experience,Full time course,Graduate,STEM,5.0,,,83.0,0.0,51-100
33241,city_115,0.789,Not specified,No relevent experience,,Graduate,Business Degree,0.0,,Pvt Ltd,52.0,1.0,51-100
666,city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,20.0,S,Funded Startup,8.0,0.0,0-50
21651,city_176,0.764,Not specified,Has relevent experience,Part time course,Graduate,STEM,11.0,,,24.0,1.0,0-50
28806,city_160,0.92,Male,Has relevent experience,no_enrollment,High School,,5.0,S,Funded Startup,24.0,0.0,0-50
402,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13.0,S,Pvt Ltd,18.0,1.0,0-50
27107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7.0,S,Pvt Ltd,46.0,1.0,0-50
699,city_103,0.92,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,17.0,L,Pvt Ltd,123.0,0.0,101-200
29452,city_21,0.624,Not specified,No relevent experience,Full time course,High School,,2.0,,,32.0,1.0,0-50
23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.0,L,Pvt Ltd,108.0,0.0,101-200
25619,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,M,Pvt Ltd,23.0,0.0,0-50
5826,city_21,0.624,Male,No relevent experience,,,,2.0,,,24.0,0.0,0-50
8722,city_21,0.624,Not specified,No relevent experience,Full time course,High School,,5.0,,,26.0,0.0,0-50
6588,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16.0,S,Pvt Ltd,18.0,0.0,0-50
4167,city_103,0.92,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,1.0,S,Pvt Ltd,106.0,0.0,101-200
5764,city_21,0.624,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,2.0,L,Pvt Ltd,7.0,0.0,0-50
2156,city_21,0.624,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,7.0,L,Pvt Ltd,23.0,1.0,0-50
11399,city_13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4.0,,,132.0,1.0,101-200
31972,city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11.0,M,Pvt Ltd,68.0,0.0,51-100
19061,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11.0,M,Pvt Ltd,50.0,0.0,0-50
6491,city_102,0.804,Not specified,Has relevent experience,no_enrollment,Masters,STEM,10.0,,,48.0,0.0,0-50
7041,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,0.0,M,Pvt Ltd,65.0,0.0,51-100
22767,city_21,0.624,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,5.0,M,Pvt Ltd,13.0,0.0,0-50
14505,city_67,0.855,Not specified,No relevent experience,no_enrollment,High School,,4.0,,,22.0,0.0,0-50
17139,city_21,0.624,Not specified,Has relevent experience,Part time course,Graduate,STEM,14.0,M,Pvt Ltd,148.0,1.0,101-200
28476,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5.0,,,72.0,0.0,51-100
21538,city_100,0.887,Male,Has relevent experience,no_enrollment,High School,,11.0,S,Pvt Ltd,8.0,1.0,0-50
10408,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18.0,S,Funded Startup,68.0,1.0,51-100
14928,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,M,Pvt Ltd,40.0,0.0,0-50
